"Daily Weather Observations for Sydney, New South Wales for December 2023"
"Prepared at 13:00 UTC on Sunday 17 March 2024   IDCJDW2124.202312"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-12-1,17.9,26.6,0.4,6.8,10.1,S,35,18:07,22.9,75,4,SW,7,1006.0,25.6,63,5,ESE,20,1004.2
,2023-12-2,19.8,27.2,0,6.2,2.7,WNW,46,20:41,21.4,83,7,S,7,1009.1,24.0,81,7,ESE,15,1007.7
,2023-12-3,15.6,26.7,12.6,4.8,11.5,E,52,16:24,20.3,87,1,WNW,9,1013.2,25.6,61,4,SSE,26,1012.6
,2023-12-4,18.7,26.2,0.6,8.0,11.5,E,28,15:56,19.4,87,7,WNW,11,1019.7,25.0,60,4,E,19,1017.4
,2023-12-5,17.2,28.5,0.2,7.0,12.9,E,31,16:48,23.6,73,2,NNE,13,1017.0,27.5,64,1,E,15,1012.4
,2023-12-6,21.4,26.8,0,11.2,11.2,S,57,03:49,23.7,76,1,S,17,1018.0,25.7,64,2,SE,19,1017.3
,2023-12-7,18.9,26.5,0,7.2,9.6,ENE,31,10:42,23.2,79,6,NNE,13,1017.6,25.8,72,7,E,17,1017.7
,2023-12-8,20.3,29.5,0,7.4,10.8,,,,25.5,77,2,ESE,9,1017.0,27.5,76,4,ENE,20,1012.9
,2023-12-9,22.6,40.0,0,10.6,9.6,S,72,22:58,29.0,70,1,E,11,1011.2,31.2,54,7,SE,15,1008.3
,2023-12-10,20.3,27.6,1.2,9.8,3.8,S,65,23:06,21.0,100,7,SSW,20,1019.4,26.8,76,6,S,15,1017.1
,2023-12-11,20.7,29.4,0,4.0,10.3,ESE,28,12:55,24.8,84,5,E,2,1017.3,28.7,68,3,ESE,19,1016.2
,2023-12-12,21.5,29.3,0,7.6,8.1,E,33,15:42,25.9,79,6,ESE,11,1020.2,28.8,64,5,E,22,1017.3
,2023-12-13,20.4,29.2,0,7.8,10.2,WSW,65,21:56,25.4,83,6,NE,13,1016.3,29.1,69,3,ENE,28,1011.0
,2023-12-14,21.9,38.9,2.2,9.6,11.6,W,65,13:37,27.1,77,6,N,9,1006.2,38.7,23,4,W,33,1001.7
,2023-12-15,21.1,28.3,0,12.6,12.2,ENE,43,16:46,25.1,69,2,SE,11,1011.1,26.1,62,1,E,20,1008.4
,2023-12-16,19.7,35.3,0,9.0,12.5,W,39,11:04,24.6,75,2,W,15,1005.7,31.9,45,1,E,20,1003.4
,2023-12-17,20.4,28.5,0,11.2,8.3,E,39,15:13,22.3,77,7,E,19,1015.2,27.5,56,2,E,26,1014.1
,2023-12-18,20.3,29.0,0,9.2,4.3,E,30,15:53,23.9,83,8,ESE,9,1015.4,27.8,72,1,E,19,1011.3
,2023-12-19,23.4,33.5,0,4.0,0.0,S,67,19:41,25.1,91,8,WNW,6,1010.6,32.2,53,8,N,22,1007.7
,2023-12-20,18.2,18.5,9.2,8.2,0.0,S,57,08:54,18.3,98,8,S,31,1013.3,17.3,98,8,SSW,30,1014.1
,2023-12-21,16.4,22.0,22.2,1.8,2.6,SSW,59,15:51,18.4,98,8,SSW,24,1015.6,21.8,69,7,SSW,33,1016.0
,2023-12-22,16.2,25.6,2.0,5.8,12.7,SSE,44,16:59,20.6,65,4,SSW,15,1017.5,25.0,41,6,SSE,28,1014.8
,2023-12-23,16.5,25.9,3.2,8.2,8.2,SSW,30,23:53,20.0,87,7,SSW,9,1014.3,25.2,63,2,ESE,20,1010.0
,2023-12-24,19.7,24.4,0.4,7.2,1.1,SW,56,16:16,21.1,81,7,ESE,15,1008.5,21.1,98,7,ENE,15,1006.3
,2023-12-25,17.9,27.9,23.4,,6.1,ENE,50,18:53,20.5,98,7,WNW,7,1007.3,27.1,74,5,E,19,1004.9
,2023-12-26,20.4,29.7,0.6,5.4,4.7,ENE,46,15:56,23.8,90,6,SW,15,1007.7,24.3,86,6,E,11,1005.7
,2023-12-27,19.8,26.3,0.2,4.0,8.5,WSW,78,13:29,23.0,79,5,SSW,15,1009.5,17.2,95,7,WSW,4,1008.7
,2023-12-28,17.0,29.5,10.2,5.8,13.3,ESE,30,15:01,22.7,74,4,W,13,1010.5,27.5,48,4,ESE,20,1009.4
,2023-12-29,19.6,26.6,0,8.0,0.9,WNW,28,20:26,23.8,86,7,SSE,7,1012.5,25.3,79,8,E,15,1011.4
,2023-12-30,19.2,27.7,0,3.8,11.6,ESE,46,16:23,22.7,68,3,S,7,1010.9,25.9,63,3,ESE,20,1009.3
,2023-12-31,17.0,21.6,9.6,9.2,0.0,E,35,18:26,19.4,77,8,SSE,15,1020.9,20.8,70,8,ESE,17,1021.6
