date,min_temperature,max_temperature,rainfall,max_wind_direction,max_wind_speed,max_wind_time,morning_temperature,morning_humidity,morning_cloudiness,morning_wind_direction,morning_wind_speed,morning_pressure,afternoon_temperature,afternoon_humidity,afternoon_cloudiness,afternoon_wind_direction,afternoon_wind_speed,afternoon_pressure
1/12/2023,17.9,26.6,0.4,S,35,18:07,22.9,75,4,SW,7,1006,25.6,63,5,ESE,20,1004.2
2/12/2023,19.8,27.2,0,WNW,46,20:41,21.4,83,7,S,7,1009.1,24,81,7,ESE,15,1007.7
3/12/2023,15.6,26.7,12.6,E,52,16:24,20.3,87,1,WNW,9,1013.2,25.6,61,4,SSE,26,1012.6
4/12/2023,18.7,26.2,0.6,E,28,15:56,19.4,87,7,WNW,11,1019.7,25,60,4,E,19,1017.4
5/12/2023,17.2,28.5,0.2,E,31,16:48,23.6,73,2,NNE,13,1017,27.5,64,1,E,15,1012.4
6/12/2023,21.4,26.8,0,S,57,3:49,23.7,76,1,S,17,1018,25.7,64,2,SE,19,1017.3
7/12/2023,18.9,26.5,0,ENE,31,10:42,23.2,79,6,NNE,13,1017.6,25.8,72,7,E,17,1017.7
8/12/2023,20.3,29.5,0,,,,25.5,77,2,ESE,9,1017,27.5,76,4,ENE,20,1012.9
9/12/2023,22.6,40,0,S,72,22:58,29,70,1,E,11,1011.2,31.2,54,7,SE,15,1008.3
10/12/2023,20.3,27.6,1.2,S,65,23:06,21,100,7,SSW,20,1019.4,26.8,76,6,S,15,1017.1
11/12/2023,20.7,29.4,0,ESE,28,12:55,24.8,84,5,E,2,1017.3,28.7,68,3,ESE,19,1016.2
12/12/2023,21.5,29.3,0,E,33,15:42,25.9,79,6,ESE,11,1020.2,28.8,64,5,E,22,1017.3
13/12/2023,20.4,29.2,0,WSW,65,21:56,25.4,83,6,NE,13,1016.3,29.1,69,3,ENE,28,1011
14/12/2023,21.9,38.9,2.2,W,65,13:37,27.1,77,6,N,9,1006.2,38.7,23,4,W,33,1001.7
15/12/2023,21.1,28.3,0,ENE,43,16:46,25.1,69,2,SE,11,1011.1,26.1,62,1,E,20,1008.4
16/12/2023,19.7,35.3,0,W,39,11:04,24.6,75,2,W,15,1005.7,31.9,45,1,E,20,1003.4
17/12/2023,20.4,28.5,0,E,39,15:13,22.3,77,7,E,19,1015.2,27.5,56,2,E,26,1014.1
18/12/2023,20.3,29,0,E,30,15:53,23.9,83,8,ESE,9,1015.4,27.8,72,1,E,19,1011.3
19/12/2023,23.4,33.5,0,S,67,19:41,25.1,91,8,WNW,6,1010.6,32.2,53,8,N,22,1007.7
20/12/2023,18.2,18.5,9.2,S,57,8:54,18.3,98,8,S,31,1013.3,17.3,98,8,SSW,30,1014.1
21/12/2023,16.4,22,22.2,SSW,59,15:51,18.4,98,8,SSW,24,1015.6,21.8,69,7,SSW,33,1016
22/12/2023,16.2,25.6,2,SSE,44,16:59,20.6,65,4,SSW,15,1017.5,25,41,6,SSE,28,1014.8
23/12/2023,16.5,25.9,3.2,SSW,30,23:53,20,87,7,SSW,9,1014.3,25.2,63,2,ESE,20,1010
24/12/2023,19.7,24.4,0.4,SW,56,16:16,21.1,81,7,ESE,15,1008.5,21.1,98,7,ENE,15,1006.3
25/12/2023,17.9,27.9,23.4,ENE,50,18:53,20.5,98,7,WNW,7,1007.3,27.1,74,5,E,19,1004.9
26/12/2023,20.4,29.7,0.6,ENE,46,15:56,23.8,90,6,SW,15,1007.7,24.3,86,6,E,11,1005.7
27/12/2023,19.8,26.3,0.2,WSW,78,13:29,23,79,5,SSW,15,1009.5,17.2,95,7,WSW,4,1008.7
28/12/2023,17,29.5,10.2,ESE,30,15:01,22.7,74,4,W,13,1010.5,27.5,48,4,ESE,20,1009.4
29/12/2023,19.6,26.6,0,WNW,28,20:26,23.8,86,7,SSE,7,1012.5,25.3,79,8,E,15,1011.4
30/12/2023,19.2,27.7,0,ESE,46,16:23,22.7,68,3,S,7,1010.9,25.9,63,3,ESE,20,1009.3
31/12/2023,17,21.6,9.6,E,35,18:26,19.4,77,8,SSE,15,1020.9,20.8,70,8,ESE,17,1021.6
